Date,Rt,Et,Ret,Qt
94/06/24 05,0.000,0.032,0.000,0.3935
94/06/24 06,0.000,0.024,0.000,0.398
94/06/24 07,0.000,0.058,0.000,0.3958
94/06/24 08,0.000,0.091,0.000,0.3958
94/06/24 09,0.000,0.119,0.000,0.3942
94/06/24 10,0.000,0.147,0.000,0.392
94/06/24 11,0.000,0.162,0.000,0.3902
94/06/24 12,0.000,0.138,0.000,0.392
94/06/24 13,0.000,0.159,0.000,0.392
94/06/24 14,0.000,0.124,0.000,0.3928
94/06/24 15,0.000,0.110,0.000,0.398
94/06/24 16,0.000,0.061,0.000,0.398
94/06/24 17,0.029,0.058,0.000,0.398
94/06/24 18,0.046,0.012,0.034,0.398
94/06/24 19,0.028,0.000,0.028,0.398
94/06/24 20,0.007,0.000,0.007,0.398
94/06/24 21,0.013,0.000,0.013,0.3965
94/06/24 22,0.033,0.000,0.033,0.398
94/06/24 23,0.007,0.000,0.007,0.398
94/06/25 00,0.000,0.000,0.000,0.3965
94/06/25 01,0.000,0.000,0.000,0.398
94/06/25 02,0.004,0.000,0.004,0.398
94/06/25 03,0.000,0.000,0.000,0.398
94/06/25 04,0.000,0.000,0.000,0.398
94/06/25 05,0.000,0.000,0.000,0.4041
94/06/25 06,0.000,0.004,0.000,0.405
94/06/25 07,0.004,0.014,0.000,0.4065
94/06/25 08,0.000,0.024,0.000,0.4058
94/06/25 09,0.000,0.035,0.000,0.408
94/06/25 10,0.000,0.067,0.000,0.4058
94/06/25 11,0.007,0.041,0.000,0.405
94/06/25 12,0.000,0.069,0.000,0.405
94/06/25 13,0.000,0.071,0.000,0.4065
94/06/25 14,0.000,0.065,0.000,0.4065
94/06/25 15,0.000,0.098,0.000,0.4058
94/06/25 16,0.000,0.138,0.000,0.4087
94/06/25 17,0.000,0.088,0.000,0.405
94/06/25 18,0.000,0.038,0.000,0.4058
94/06/25 19,0.000,0.028,0.000,0.408
94/06/25 20,0.000,0.008,0.000,0.4065
94/06/25 21,0.000,0.000,0.000,0.4058
94/06/25 22,0.000,0.000,0.000,0.405
94/06/25 23,0.000,0.000,0.000,0.405
94/06/26 00,0.000,0.000,0.000,0.405
94/06/26 01,0.000,0.000,0.000,0.405
94/06/26 02,0.000,0.000,0.000,0.405
94/06/26 03,0.000,0.000,0.000,0.405
94/06/26 04,0.000,0.000,0.000,0.405
94/06/26 05,0.000,0.001,0.000,0.405
94/06/26 06,0.000,0.008,0.000,0.405
94/06/26 07,0.000,0.014,0.000,0.405
94/06/26 08,0.000,0.029,0.000,0.405
94/06/26 09,0.000,0.067,0.000,0.405
94/06/26 10,0.000,0.081,0.000,0.4024
94/06/26 11,0.000,0.085,0.000,0.398
94/06/26 12,0.000,0.086,0.000,0.3958
94/06/26 13,0.000,0.114,0.000,0.3943
94/06/26 14,0.000,0.127,0.000,0.3928
94/06/26 15,0.000,0.089,0.000,0.392
94/06/26 16,0.000,0.079,0.000,0.392
94/06/26 17,0.000,0.053,0.000,0.392
94/06/26 18,0.000,0.041,0.000,0.3928
94/06/26 19,0.000,0.027,0.000,0.398
94/06/26 20,0.000,0.014,0.000,0.3942
94/06/26 21,0.000,0.001,0.000,0.3935
94/06/26 22,0.000,0.000,0.000,0.392
94/06/26 23,0.000,0.000,0.000,0.392
94/06/27 00,0.007,0.000,0.007,0.392
94/06/27 01,0.000,0.000,0.000,0.392
94/06/27 02,0.000,0.001,0.000,0.392
94/06/27 03,0.000,0.001,0.000,0.392
94/06/27 04,0.000,0.000,0.000,0.392
94/06/27 05,0.000,0.003,0.000,0.392
94/06/27 06,0.000,0.011,0.000,0.392
94/06/27 07,0.000,0.027,0.000,0.392
94/06/27 08,0.000,0.027,0.000,0.392
94/06/27 09,0.000,0.048,0.000,0.392
94/06/27 10,0.000,0.062,0.000,0.392
94/06/27 11,0.000,0.058,0.000,0.3894
94/06/27 12,0.000,0.067,0.000,0.3885
94/06/27 13,0.000,0.057,0.000,0.3894
94/06/27 14,0.000,0.088,0.000,0.392
94/06/27 15,0.000,0.149,0.000,0.392
94/06/27 16,0.000,0.135,0.000,0.3958
94/06/27 17,0.000,0.112,0.000,0.398
94/06/27 18,0.000,0.080,0.000,0.3972
94/06/27 19,0.000,0.059,0.000,0.392
94/06/27 20,0.000,0.021,0.000,0.3894
94/06/27 21,0.000,0.000,0.000,0.385
94/06/27 22,0.000,0.000,0.000,0.3892
94/06/27 23,0.000,0.000,0.000,0.4408
94/06/28 00,0.000,0.000,0.000,0.465
94/06/28 01,0.000,0.000,0.000,0.4285
94/06/28 02,0.000,0.000,0.000,0.3878
94/06/28 03,0.000,0.000,0.000,0.3651
94/06/28 04,0.000,0.000,0.000,0.36
94/06/28 05,0.000,0.002,0.000,0.36
94/06/28 06,0.000,0.022,0.000,0.3644
94/06/28 07,0.000,0.050,0.000,0.3745
94/06/28 08,0.000,0.081,0.000,0.3812
94/06/28 09,0.000,0.116,0.000,0.3843
94/06/28 10,0.000,0.138,0.000,0.3805
94/06/28 11,0.000,0.160,0.000,0.382
94/06/28 12,0.000,0.175,0.000,0.382
94/06/28 13,0.000,0.178,0.000,0.3805
94/06/28 14,0.000,0.173,0.000,0.3805
94/06/28 15,0.000,0.158,0.000,0.379
94/06/28 16,0.000,0.139,0.000,0.3828
94/06/28 17,0.000,0.113,0.000,0.385
94/06/28 18,0.000,0.076,0.000,0.3933
94/06/28 19,0.000,0.022,0.000,0.443
94/06/28 20,0.000,0.008,0.000,0.4498
94/06/28 21,0.000,0.001,0.000,0.4225
94/06/28 22,0.000,0.000,0.000,0.3991
94/06/28 23,0.000,0.000,0.000,0.3851
94/06/29 00,0.014,0.000,0.014,0.379
94/06/29 01,0.000,0.000,0.000,0.3782
94/06/29 02,0.153,0.000,0.153,0.3768
94/06/29 03,0.007,0.000,0.007,0.379
94/06/29 04,0.014,0.000,0.014,0.379
94/06/29 05,0.007,0.000,0.007,0.379
94/06/29 06,0.007,0.015,0.000,0.379
94/06/29 07,0.000,0.045,0.000,0.3782
94/06/29 08,0.000,0.059,0.000,0.3783
94/06/29 09,0.000,0.090,0.000,0.3782
94/06/29 10,0.000,0.115,0.000,0.373
94/06/29 11,0.000,0.105,0.000,0.3692
94/06/29 12,0.000,0.141,0.000,0.367
94/06/29 13,0.000,0.129,0.000,0.3678
94/06/29 14,0.000,0.141,0.000,0.3708
94/06/29 15,0.000,0.124,0.000,0.3722
94/06/29 16,0.000,0.105,0.000,0.376
94/06/29 17,0.000,0.092,0.000,0.376
94/06/29 18,0.000,0.074,0.000,0.373
94/06/29 19,0.000,0.050,0.000,0.3692
94/06/29 20,0.000,0.019,0.000,0.367
94/06/29 21,0.000,0.000,0.000,0.367
94/06/29 22,0.000,0.000,0.000,0.3626
94/06/29 23,0.000,0.000,0.000,0.36
94/06/30 00,0.000,0.000,0.000,0.36
94/06/30 01,0.000,0.000,0.000,0.36
94/06/30 02,0.000,0.000,0.000,0.36
94/06/30 03,0.000,0.000,0.000,0.3644
94/06/30 04,0.000,0.000,0.000,0.367
94/06/30 05,0.000,0.001,0.000,0.367
94/06/30 06,0.000,0.017,0.000,0.367
94/06/30 07,0.000,0.041,0.000,0.367
94/06/30 08,0.000,0.070,0.000,0.367
94/06/30 09,0.000,0.090,0.000,0.367
94/06/30 10,0.000,0.121,0.000,0.3661
94/06/30 11,0.000,0.142,0.000,0.3617
94/06/30 12,0.000,0.156,0.000,0.36
94/06/30 13,0.000,0.155,0.000,0.36
94/06/30 14,0.000,0.141,0.000,0.36
94/06/30 15,0.000,0.129,0.000,0.3609
94/06/30 16,0.000,0.112,0.000,0.3635
94/06/30 17,0.000,0.106,0.000,0.367
94/06/30 18,0.000,0.075,0.000,0.367
94/06/30 19,0.000,0.031,0.000,0.365
94/06/30 20,0.000,0.007,0.000,0.3721
94/06/30 21,0.000,0.000,0.000,0.36
94/06/30 22,0.000,0.000,0.000,0.3548
94/06/30 23,0.000,0.000,0.000,0.354
94/07/01 00,0.000,0.000,0.000,0.354
94/07/01 01,0.000,0.000,0.000,0.3547
94/07/01 02,0.000,0.000,0.000,0.3585
94/07/01 03,0.000,0.000,0.000,0.3578
94/07/01 04,0.000,0.000,0.000,0.3495
94/07/01 05,0.000,0.000,0.000,0.3382
94/07/01 06,0.000,0.015,0.000,0.3308
94/07/01 07,0.000,0.036,0.000,0.3382
94/07/01 08,0.000,0.060,0.000,0.3581
94/07/01 09,0.000,0.088,0.000,0.3722
94/07/01 10,0.000,0.114,0.000,0.373
94/07/01 11,0.000,0.135,0.000,0.3692
94/07/01 12,0.000,0.150,0.000,0.3652
94/07/01 13,0.000,0.152,0.000,0.3609
94/07/01 14,0.000,0.138,0.000,0.36
94/07/01 15,0.000,0.128,0.000,0.36
94/07/01 16,0.000,0.127,0.000,0.3626
94/07/01 17,0.000,0.085,0.000,0.367
94/07/01 18,0.000,0.078,0.000,0.3635
94/07/01 19,0.000,0.053,0.000,0.3609
94/07/01 20,0.000,0.019,0.000,0.36
94/07/01 21,0.000,0.006,0.000,0.3592
94/07/01 22,0.000,0.004,0.000,0.3592
94/07/01 23,0.000,0.002,0.000,0.36
94/07/02 00,0.000,0.003,0.000,0.357
94/07/02 01,0.000,0.003,0.000,0.357
94/07/02 02,0.000,0.003,0.000,0.36
94/07/02 03,0.000,0.001,0.000,0.36
94/07/02 04,0.000,0.000,0.000,0.36
94/07/02 05,0.000,0.000,0.000,0.3617
94/07/02 06,0.000,0.006,0.000,0.3661
94/07/02 07,0.000,0.025,0.000,0.367
94/07/02 08,0.000,0.055,0.000,0.367
94/07/02 09,0.000,0.088,0.000,0.367
94/07/02 10,0.000,0.110,0.000,0.367
94/07/02 11,0.000,0.067,0.000,0.3644
94/07/02 12,0.000,0.106,0.000,0.3661
94/07/02 13,0.000,0.117,0.000,0.3635
94/07/02 14,0.000,0.091,0.000,0.3652
94/07/02 15,0.000,0.103,0.000,0.3626
94/07/02 16,0.000,0.095,0.000,0.3661
94/07/02 17,0.000,0.073,0.000,0.367
94/07/02 18,0.000,0.037,0.000,0.367
94/07/02 19,0.000,0.018,0.000,0.367
94/07/02 20,0.000,0.000,0.000,0.367
94/07/02 21,0.000,0.000,0.000,0.3661
94/07/02 22,0.000,0.000,0.000,0.36
94/07/02 23,0.000,0.000,0.000,0.36
94/07/03 00,0.000,0.000,0.000,0.36
94/07/03 01,0.000,0.000,0.000,0.3626
94/07/03 02,0.000,0.000,0.000,0.3708
94/07/03 03,0.000,0.000,0.000,0.3644
94/07/03 04,0.000,0.000,0.000,0.3428
94/07/03 05,0.000,0.001,0.000,0.3293
94/07/03 06,0.000,0.009,0.000,0.3345
94/07/03 07,0.000,0.028,0.000,0.3495
94/07/03 08,0.000,0.046,0.000,0.3547
94/07/03 09,0.007,0.043,0.000,0.36
94/07/03 10,0.000,0.048,0.000,0.36
94/07/03 11,0.000,0.076,0.000,0.36
94/07/03 12,0.000,0.113,0.000,0.36
94/07/03 13,0.000,0.082,0.000,0.3548
94/07/03 14,0.000,0.079,0.000,0.3592
94/07/03 15,0.000,0.087,0.000,0.3831
94/07/03 16,0.000,0.094,0.000,0.4095
94/07/03 17,0.000,0.062,0.000,0.3895
94/07/03 18,0.000,0.053,0.000,0.3564
94/07/03 19,0.000,0.033,0.000,0.3345
94/07/03 20,0.000,0.000,0.000,0.3262
94/07/03 21,0.000,0.000,0.000,0.324
94/07/03 22,0.000,0.000,0.000,0.324
94/07/03 23,0.000,0.000,0.000,0.324
94/07/04 00,0.000,0.000,0.000,0.324
94/07/04 01,0.000,0.000,0.000,0.33
94/07/04 02,0.000,0.000,0.000,0.3383
94/07/04 03,0.000,0.000,0.000,0.3442
94/07/04 04,0.000,0.000,0.000,0.3518
94/07/04 05,0.000,0.001,0.000,0.3592
94/07/04 06,1.074,0.000,1.074,0.3661
94/07/04 07,0.062,0.008,0.054,0.3609
94/07/04 08,0.000,0.022,0.000,0.36
94/07/04 09,0.076,0.013,0.063,0.36
94/07/04 10,0.042,0.016,0.026,0.36
94/07/04 11,0.012,0.028,0.000,0.36
94/07/04 12,0.021,0.022,0.000,0.357
94/07/04 13,0.044,0.039,0.005,0.36
94/07/04 14,0.037,0.082,0.000,0.3609
94/07/04 15,0.014,0.090,0.000,0.367
94/07/04 16,0.000,0.056,0.000,0.3708
94/07/04 17,0.000,0.041,0.000,0.373
94/07/04 18,0.000,0.045,0.000,0.3678
94/07/04 19,0.000,0.020,0.000,0.3626
94/07/04 20,0.000,0.008,0.000,0.3592
94/07/04 21,0.000,0.000,0.000,0.3555
94/07/04 22,0.000,0.000,0.000,0.354
94/07/04 23,0.000,0.000,0.000,0.354
94/07/05 00,0.000,0.000,0.000,0.3592
94/07/05 01,0.000,0.000,0.000,0.36
94/07/05 02,0.000,0.000,0.000,0.36
94/07/05 03,0.000,0.000,0.000,0.36
94/07/05 04,0.000,0.000,0.000,0.36
94/07/05 05,0.000,0.000,0.000,0.36
94/07/05 06,0.000,0.007,0.000,0.36
94/07/05 07,0.000,0.013,0.000,0.36
94/07/05 08,0.000,0.047,0.000,0.36
94/07/05 09,0.000,0.049,0.000,0.36
94/07/05 10,0.000,0.044,0.000,0.3578
94/07/05 11,0.122,0.034,0.088,0.3555
94/07/05 12,0.158,0.062,0.096,0.3517
94/07/05 13,1.457,0.038,1.419,0.3518
94/07/05 14,0.228,0.063,0.165,0.3547
94/07/05 15,0.000,0.066,0.000,0.36
94/07/05 16,0.014,0.027,0.000,0.36
94/07/05 17,0.085,0.037,0.048,0.3626
94/07/05 18,0.615,0.009,0.606,0.3678
94/07/05 19,0.117,0.003,0.114,0.373
94/07/05 20,0.000,0.000,0.000,0.373
94/07/05 21,0.000,0.000,0.000,0.3753
94/07/05 22,0.000,0.000,0.000,0.379
94/07/05 23,0.000,0.000,0.000,0.3842
94/07/06 00,0.000,0.000,0.000,0.385
94/07/06 01,0.000,0.000,0.000,0.3835
94/07/06 02,0.005,0.000,0.005,0.3813
94/07/06 03,0.004,0.000,0.004,0.3805
94/07/06 04,0.000,0.000,0.000,0.3782
94/07/06 05,0.022,0.001,0.021,0.3753
94/07/06 06,0.772,0.005,0.767,0.3805
94/07/06 07,0.132,0.009,0.123,0.379
94/07/06 08,0.712,0.017,0.695,0.3838
94/07/06 09,3.337,0.016,3.321,0.4285
94/07/06 10,4.463,0.028,4.435,0.4194
94/07/06 11,2.982,0.083,2.899,0.4309
94/07/06 12,0.004,0.150,0.000,0.4379
94/07/06 13,0.004,0.166,0.000,0.4474
94/07/06 14,0.000,0.159,0.000,0.4761
94/07/06 15,0.821,0.066,0.755,0.5112
94/07/06 16,3.679,0.031,3.648,0.5525
94/07/06 17,0.472,0.055,0.417,0.6498
94/07/06 18,2.018,0.009,2.009,0.84
94/07/06 19,0.216,0.010,0.206,0.8578
94/07/06 20,0.029,0.000,0.029,0.8098
94/07/06 21,0.391,0.000,0.391,0.8615
94/07/06 22,0.017,0.000,0.017,1.088
94/07/06 23,0.002,0.000,0.002,1.1661
94/07/07 00,0.047,0.000,0.047,1.1046
94/07/07 01,0.000,0.000,0.000,1.0328
94/07/07 02,0.008,0.000,0.008,1.0361
94/07/07 03,0.005,0.000,0.005,1.0171
94/07/07 04,0.000,0.000,0.000,0.9696
94/07/07 05,0.000,0.000,0.000,0.9354
94/07/07 06,0.015,0.004,0.011,0.9
94/07/07 07,0.000,0.027,0.000,0.8566
94/07/07 08,0.107,0.044,0.063,0.8054
94/07/07 09,0.176,0.066,0.110,0.762
94/07/07 10,0.003,0.085,0.000,0.722
94/07/07 11,0.001,0.154,0.000,0.6856
94/07/07 12,0.008,0.159,0.000,0.6476
94/07/07 13,0.007,0.162,0.000,0.6175
94/07/07 14,0.000,0.107,0.000,0.5945
94/07/07 15,0.007,0.153,0.000,0.577
94/07/07 16,0.000,0.116,0.000,0.5604
94/07/07 17,0.000,0.095,0.000,0.5454
94/07/07 18,0.000,0.039,0.000,0.5304
94/07/07 19,0.276,0.011,0.265,0.5146
94/07/07 20,2.367,0.000,2.367,0.5129
94/07/07 21,1.274,0.001,1.273,0.5173
94/07/07 22,0.389,0.001,0.388,0.5336
94/07/07 23,0.093,0.000,0.093,0.5815
94/07/08 00,0.482,0.000,0.482,0.5598
94/07/08 01,0.943,0.000,0.943,0.5096
94/07/08 02,0.365,0.000,0.365,0.478
94/07/08 03,0.389,0.000,0.389,0.4831
94/07/08 04,0.088,0.000,0.088,0.5211
94/07/08 05,0.022,0.000,0.022,0.5541
94/07/08 06,0.022,0.009,0.013,0.565
94/07/08 07,0.007,0.033,0.000,0.567
94/07/08 08,0.004,0.066,0.000,0.569
94/07/08 09,0.002,0.120,0.000,0.577
94/07/08 10,0.001,0.193,0.000,0.584
94/07/08 11,0.001,0.199,0.000,0.5796
94/07/08 12,0.014,0.260,0.000,0.577
94/07/08 13,0.000,0.209,0.000,0.5744
94/07/08 14,0.000,0.152,0.000,0.57
94/07/08 15,0.000,0.161,0.000,0.569
94/07/08 16,0.000,0.186,0.000,0.564
94/07/08 17,0.000,0.161,0.000,0.5594
94/07/08 18,0.000,0.089,0.000,0.5498
94/07/08 19,0.000,0.040,0.000,0.5349
94/07/08 20,0.000,0.011,0.000,0.5266
94/07/08 21,0.000,0.000,0.000,0.5146
94/07/08 22,0.000,0.000,0.000,0.505
94/07/08 23,0.000,0.000,0.000,0.4942
94/07/09 00,0.000,0.000,0.000,0.485
